IGNORE_TEST(CircularBufferInvariant, ApiIsSafeAgainstNull) - 0 ms
TEST(CircularBufferInvariant, PositiveCapacityOk) - 0 ms
TEST(CircularBufferInvariant, NegativeCapacityFail) - 0 ms
TEST(CircularBufferN, PipeDataThrough) - 0 ms
TEST(CircularBufferN, MultipleInstances) - 0 ms
TEST(CircularBufferN, OnlyZeroSizedBufferIsEmpty) - 0 ms
TEST(CircularBufferN, FailedPopDoesNotCorruptValue) - 0 ms
TEST(CircularBufferN, PushAndPopTwoCorrectValues) - 0 ms
TEST(CircularBufferN, PopOnEmptyBufferDoesNotAffectSize) - 0 ms
TEST(CircularBufferN, ExceedCapacityFail) - 0 ms
TEST(CircularBuffer1, NoOperationOnInvalidRef) - 0 ms
TEST(CircularBuffer1, PopTwoElements) - 0 ms
TEST(CircularBuffer1, PushAndPopElementCorrect) - 0 ms
TEST(CircularBuffer1, PopOnFullBufferOk) - 0 ms
TEST(CircularBuffer1, PopOnEmptyBufferFails) - 0 ms
TEST(CircularBuffer1, PushTwoElements) - 0 ms
TEST(CircularBuffer1, PushOneElement) - 0 ms
TEST(CircularBuffer1, NewBufferIsEmptyCapacity) - 0 ms
TEST(CircularBuffer0, PopAlwaysFails) - 0 ms
TEST(CircularBuffer0, PushAlwaysFails) - 0 ms
TEST(CircularBuffer0, ZeroCapacity) - 0 ms
TEST(CircularBuffer0, AlwaysEmpty) - 0 ms
